A1,A2,A3,A4,C1,C2,bin
9.65522297493961e-07,9.77286987368109e-07,7.308022633799996e-08,9.00424712439999e-08,1.4531956548416291e-06,1.3057337204854676e-06,train
4.376910104246001e-07,3.78956315037938e-07,7.308559355500005e-08,9.028089860899992e-08,4.4135531946510213e-07,3.7936904416692416e-07,train
9.64675793233346e-07,9.804551191732184e-07,7.308111431299994e-08,9.004301587999996e-08,1.4398143813718188e-06,1.3646376671260273e-06,train
6.368697387567e-07,9.38405974438525e-07,7.307615634299995e-08,9.018798553399989e-08,6.559043275351919e-07,1.0499829096564372e-06,train
6.6108914920921e-07,8.34682720619258e-07,7.30766492289999e-08,9.017678380499995e-08,6.833490895781138e-07,8.674158127468147e-07,train
9.482628487812529e-07,9.672758718849121e-07,7.307767789399998e-08,9.004841917099994e-08,1.2616855512495053e-06,1.1905571107973008e-06,train
7.7421456446926e-07,9.674115547113101e-07,7.307713181900001e-08,9.012577321999997e-08,8.215260778195201e-07,1.1916553097362389e-06,train
9.61660731534251e-07,1.1231701972125996e-07,7.309056956799994e-08,9.0045193576e-08,1.396785360612233e-06,1.0573658799894243e-07,train
4.7612560936457e-07,5.837224760877109e-07,7.3081680325e-08,9.026245857699989e-08,4.818027261920603e-07,5.895035904934911e-07,train
8.487923355105769e-07,9.839666020351176e-07,7.308117403299986e-08,9.009335193899999e-08,9.343770862384818e-07,1.4556190657336823e-06,train
7.6440112102938e-07,3.963011929779974e-08,7.309169299399996e-08,9.013280420619999e-08,8.085372376962508e-07,1.9146049470931016e-08,train
2.2459202862699997e-07,4.7220108101504395e-07,7.30849902449999e-08,9.037967494399988e-08,2.19146100142181e-07,4.745472673274753e-07,train
9.35402525777974e-07,9.74260546012913e-07,7.307844734999988e-08,9.005403305299992e-08,1.1796047283456887e-06,1.2622666447805384e-06,train
4.348832523942199e-07,9.783119634677931e-07,7.308043590500002e-08,9.028187620599991e-08,4.384039966075018e-07,1.3228880042659702e-06,train
2.3606704830410003e-07,8.107987530183039e-07,7.307899440200006e-08,9.037316095599999e-08,2.3117541045958968e-07,8.377205761315939e-07,train
9.66779412497179e-07,8.943566357262136e-07,7.307701163499998e-08,9.0040814374e-08,1.474289180190514e-06,9.533862976153589e-07,train
7.8924842232634e-07,9.0548147188768e-07,7.30754815439999e-08,9.011829366999996e-08,8.420400169234645e-07,9.731261116626822e-07,train
2.684992311499998e-07,5.41279416493334e-07,7.308346562200005e-08,9.035878343500002e-08,2.65046683933997e-07,5.455423731151377e-07,train
8.8170630374037e-07,1.1137017759703978e-07,7.308939817600007e-08,9.00791104299999e-08,1.0000071492592848e-06,1.0472403394266183e-07,train
7.734582546319999e-07,1.2940064969561988e-07,7.308910791399997e-08,9.012801192699991e-08,8.205222805421461e-07,1.2385380588288735e-07,train
5.896424542835799e-07,9.667079973515114e-07,7.307773190399993e-08,9.021003662699992e-08,6.035684280335952e-07,1.185870512216538e-06,train
9.37211733363383e-07,8.878240329987682e-07,7.307596751999993e-08,9.005234305699994e-08,1.1894575946802362e-06,9.425887960238859e-07,train
4.485024677800701e-07,9.739673419533855e-07,7.307944256199996e-08,9.0275300394e-08,4.5270055546140185e-07,1.2584770344088347e-06,train
8.985863156674759e-07,9.838449815903905e-07,7.308108933299999e-08,9.007104420399993e-08,1.0419749757026228e-06,1.451846403672454e-06,train
4.3950859866187e-07,4.839359835110679e-07,7.308362592799996e-08,9.027966675199992e-08,4.432621294571042e-07,4.865705842912551e-07,train
9.4828256153934e-07,4.719939618579994e-08,7.309192245300001e-08,9.005082088149999e-08,1.2618866257988686e-06,3.0140720480648755e-08,train
4.2183649217481993e-07,4.056613773394499e-07,7.308520735799996e-08,9.028813589199998e-08,4.247428897241546e-07,4.0657733637803774e-07,train
4.4611707234498005e-07,3.3878881474755996e-07,7.308628323199999e-08,9.027709720500002e-08,4.5019987547367016e-07,3.384867920575065e-07,train
4.3681843724701996e-07,2.7423751797107e-07,7.308763219099991e-08,9.028168832299989e-08,4.4044013090227907e-07,2.7280153485762675e-07,train
7.259457546107899e-07,9.234798342685646e-07,7.307569908900001e-08,9.0147177898e-08,7.598923229323254e-07,1.0104328215219875e-06,train
7.659355764509199e-07,6.93723201347818e-07,7.307857582399988e-08,9.012934391700001e-08,8.10548885160262e-07,7.056133956908035e-07,train
1.651847073888e-07,9.620232433651718e-07,7.307957303599996e-08,9.040718545700004e-08,1.560895826520314e-07,1.152245672187057e-06,train
9.579164751389379e-07,9.579950863236694e-07,7.307736726499992e-08,9.004436920699992e-08,1.3511787764971486e-06,1.128603368541568e-06,train
9.56911387511026e-07,1.5654649391786988e-07,7.308943862299993e-08,9.004675320299988e-08,1.340240346917713e-06,1.5220952996602156e-07,train
7.712782753306899e-07,1.0208922147103991e-07,7.308977846499998e-08,9.012910601049994e-08,8.176155914336952e-07,9.473445493074872e-08,train
9.58281178518183e-07,9.559179113700002e-08,7.309082686599998e-08,9.004653296930004e-08,1.3553381177234128e-06,8.766183093722807e-08,train
5.1017547559999884e-08,9.739505469375815e-07,7.308305810800003e-08,9.046779177199999e-08,1.554679953065541e-08,1.2582467062575695e-06,train
8.86382751630826e-07,9.798079695632493e-07,7.307949523500001e-08,9.007591687899995e-08,1.0108615568556196e-06,1.3511443239878749e-06,train
4.3289915233836003e-07,9.207415847153513e-07,7.307694287199997e-08,9.02815332009999e-08,4.363286908405073e-07,1.0041752200864028e-06,train
8.569247837747859e-07,9.834303116999437e-07,7.308083401100002e-08,9.008955983199994e-08,9.491660532562612e-07,1.4393173676382183e-06,train
2.2691496175560004e-07,9.78369655643483e-07,7.308157296599994e-08,9.037852770300002e-08,2.2156969083976448e-07,1.3238746358932076e-06,train
6.4997481630935e-07,9.11768231719255e-07,7.307599289800001e-08,9.018180914799992e-08,6.706944526775421e-07,9.8525181894186e-07,train
9.62320716004741e-07,9.519813426589471e-07,7.307722711899994e-08,9.00426345599999e-08,1.4056230200381006e-06,1.0993436629095128e-06,train
4.755141700139986e-08,1.948539339189e-07,7.30928640342999e-08,9.047150948599999e-08,9.38570777278025e-09,1.9172039429232613e-07,train
9.513061128683389e-07,8.480614038121029e-07,7.30767265149999e-08,9.004657937299993e-08,1.286500703234248e-06,8.848725030018824e-07,train
9.32998930099655e-07,6.476186125560379e-07,7.307955489799991e-08,9.005464259799996e-08,1.1672533474128238e-06,6.564472105902946e-07,train
4.4698981531043993e-07,4.053098594045799e-07,7.3085021001e-08,9.027647754099996e-08,4.511166777319904e-07,4.0621904120513053e-07,train
6.260983858918599e-07,6.49558492639187e-07,7.307977963999989e-08,9.019328754499995e-08,6.438461832666397e-07,6.584967851753653e-07,train
2.769962383506999e-07,9.692051529921113e-07,7.307955149000001e-08,9.035459612299994e-08,2.7389059285678023e-07,1.2073382219851052e-06,train
2.2124632767199996e-07,9.041690893975485e-07,7.307803973499997e-08,9.038006459900001e-08,2.15629610984232e-07,9.706730127965811e-07,train
9.58339613139086e-07,6.311451843307079e-07,7.308053103699997e-08,9.004444368499994e-08,1.3559852988619132e-06,6.390789492536936e-07,train
7.860410362673699e-07,9.792428802622609e-07,7.307931292399998e-08,9.012115225699992e-08,8.375898136793142e-07,1.3400274135626375e-06,train
8.723079011661699e-07,9.222261278451064e-07,7.307544004800003e-08,9.008086892599997e-08,9.7951776684485e-07,1.0075499019920005e-06,train
5.350676862200999e-07,5.6179462254859956e-08,7.309187553299988e-08,9.02375071051999e-08,5.444903179526544e-07,4.199151846404981e-08,train
5.7733526939873e-07,9.800843926543277e-07,7.308042941699986e-08,9.021647761300002e-08,5.901315752798717e-07,1.3567240384899993e-06,train
9.677810571245889e-07,7.98501262576047e-07,7.307834291100001e-08,9.004063355499991e-08,1.4921686351802487e-06,8.229956523368249e-07,train
3.4949907130432996e-07,5.77771713974393e-07,7.3082347011e-08,9.032101412399991e-08,3.493033815781034e-07,5.833196185772919e-07,train
9.52244036707799e-07,2.3379793945556008e-07,7.308774354599997e-08,9.00482264639999e-08,1.294721740944173e-06,2.3157644474064477e-07,train
9.55603461993916e-07,3.1068530457053005e-07,7.308640439099994e-08,9.004662613500004e-08,1.3266132849123924e-06,3.0989560914356255e-07,train
2.509666401792e-07,2.5676689712470983e-07,7.308885490699992e-08,9.0368066771e-08,2.4675689916276357e-07,2.5500457745624194e-07,train
4.848673764318999e-07,6.552270326246839e-07,7.30803568209999e-08,9.025820085299997e-08,4.910434228113235e-07,6.64497971098007e-07,train
9.38457511912074e-07,9.681323725258613e-07,7.307753745099997e-08,9.005246513499994e-08,1.1964802498170483e-06,1.1978199404853367e-06,train
4.999196308459997e-08,9.704404365270351e-07,7.308252267240007e-08,9.046823929699993e-08,1.3762500988051874e-08,1.2191637678358081e-06,train
9.68020960078986e-07,4.0618550379391906e-07,7.308531807899989e-08,9.00418727549999e-08,1.4966263497997903e-06,4.0711234405489375e-07,train
8.458201512232199e-07,8.119138571234999e-08,7.309015759400003e-08,9.009543758279992e-08,9.291733195492097e-07,7.16698911388643e-08,train
1.838367382396e-07,8.40753366509009e-07,7.307889942799992e-08,9.039782156e-08,1.7607989527880742e-07,8.752395293838604e-07,train
6.389222315669599e-07,7.89925096179428e-07,7.307733573099995e-08,9.018706583799996e-08,6.582133941941364e-07,8.12886660267643e-07,train
6.766349031574e-07,9.497425184050401e-07,7.307629865199999e-08,9.016983581999995e-08,7.012382885243887e-07,1.0898430962963654e-06,train
5.4225954074048e-07,4.499971783370278e-07,7.308378050399997e-08,9.02325103829999e-08,5.522093127653509e-07,4.518316374085565e-07,train
2.145232557589e-07,9.80062276109654e-07,7.3082150523e-08,9.038455517899998e-08,2.085454817278944e-07,1.3562055252957022e-06,train
7.9082331452516e-07,6.9313099562614e-07,7.307850516599997e-08,9.011801746699988e-08,8.442382349255912e-07,7.049757344394388e-07,train
5.799796877409987e-08,9.827294679301957e-07,7.308525961699985e-08,9.046398753999996e-08,2.7002018010241937e-08,1.419356377004205e-06,train
9.37126632415118e-07,9.821894103853242e-07,7.308079058099999e-08,9.005410625899997e-08,1.1889456047826546e-06,1.4052636672119293e-06,train
2.920182856074e-07,9.23363541109178e-07,7.307763938599998e-08,9.034694125899994e-08,2.8953042620620745e-07,1.0101442360102985e-06,train
9.65632000585649e-07,8.82121831112799e-08,7.309148553099999e-08,9.004392896759992e-08,1.4550708607408102e-06,7.952987104565123e-08,train
1.7150619908129992e-07,9.841028072369672e-07,7.308424244299992e-08,9.040556204300002e-08,1.628713090234057e-07,1.4597756517671392e-06,train
9.28309988220182e-07,3.461957065854599e-07,7.308498157499988e-08,9.005777189299996e-08,1.1450315871527882e-06,3.460233397255919e-07,train
3.5783344452607e-07,9.775250140566628e-07,7.308060143100004e-08,9.031738805199997e-08,3.579668802470667e-07,1.3094854674624853e-06,train
5.2158924382051e-07,3.8610306689981295e-07,7.308512822899995e-08,9.024218263399995e-08,5.300690994697354e-07,3.8664769944470045e-07,train
9.65496116826365e-07,9.819640200174548e-07,7.308173694099994e-08,9.0042897586e-08,1.4527554297058877e-06,1.3995821144379796e-06,train
3.6061360703074e-07,1.4707849384353995e-07,7.309049795899993e-08,9.0317400366e-08,3.608681665443166e-07,1.4236522549003605e-07,train
9.41849823059158e-07,8.938843367902053e-07,7.30760256649999e-08,9.005039362399989e-08,1.2169398319265394e-06,9.525848691249036e-07,train
7.9402144577324e-07,4.3832590660269195e-07,7.308305161999997e-08,9.011743382599998e-08,8.487289418153543e-07,4.399067131984905e-07,train
9.62961697492887e-07,4.82049117337157e-07,7.3083488883e-08,9.004329901699998e-08,1.4145821927847338e-06,4.846376202770841e-07,train
9.61009999875078e-07,3.4517107302278e-07,7.308597427499997e-08,9.004443040099991e-08,1.388283743740553e-06,3.449807239900248e-07,train
7.8106456316649e-07,4.71289987307732e-07,7.3082549502e-08,9.012318627399994e-08,8.307814729700241e-07,4.7361512756594637e-07,train
9.64508738557471e-07,9.295313188293743e-07,7.307690761499999e-08,9.004169545999992e-08,1.4373030033530069e-06,1.0252260185165428e-06,train
6.0525296042988e-07,9.09478512715232e-07,7.307617704799995e-08,9.0202291088e-08,6.207220246697318e-07,9.807373762178224e-07,train
9.063951520790989e-07,6.99409578314421e-07,7.307834784799984e-08,9.006604520699999e-08,1.064533354668637e-06,7.117486881276864e-07,train
7.644075942799199e-07,9.674224748714887e-07,7.307722639399988e-08,9.013025418999991e-08,8.085379823443071e-07,1.1917452870370372e-06,train
6.8061165030059e-07,9.424664749738412e-07,7.307611899199985e-08,9.016797402399991e-08,7.058549355655797e-07,1.0629661270934325e-06,train
8.853242484949949e-07,9.735868162736458e-07,7.307796990300002e-08,9.007596678999994e-08,1.0083586342308152e-06,1.2538428855139868e-06,train
9.63259888418905e-07,9.667344013332767e-07,7.307830263699996e-08,9.004270495199991e-08,1.4187722887846036e-06,1.186141286687832e-06,train
5.63622130153e-08,9.389410523916963e-07,7.308039195200003e-08,9.04634646389999e-08,2.4472364848472982e-08,1.0516055606814004e-06,train
9.07371561980838e-07,8.93142038228337e-07,7.307554130199995e-08,9.006524618499996e-08,1.0675208187326876e-06,9.513339777741569e-07,train
9.570551532991e-07,9.434925476835659e-07,7.307668069299989e-08,9.004444176899998e-08,1.341741314239724e-06,1.06647488312538e-06,train
1.4461909294639994e-07,9.822392271354181e-07,7.308355365599995e-08,9.041824490399996e-08,1.3371547780373444e-07,1.4063724758503993e-06,train
3.4999769276542e-07,7.590751191259639e-07,7.307915877299992e-08,9.032011482799993e-08,3.498217117661706e-07,7.774720036056325e-07,train
2.6434141163819997e-07,6.2477027111994e-07,7.308200412799995e-08,9.0360476498e-08,2.607126006826591e-07,6.323770996198912e-07,train
3.643249683702e-07,4.979055362952059e-07,7.308374665499988e-08,9.03143958379999e-08,3.6473103890852973e-07,5.009009535884207e-07,train
9.67037712607157e-07,6.31832182890063e-07,7.308113023499991e-08,9.004137691699993e-08,1.478819795604541e-06,6.398016975936536e-07,train
6.079250162929299e-07,6.096727593902099e-07,7.308058644499995e-08,9.020179197699992e-08,6.236726327900782e-07,6.165604105428721e-07,train
8.111577907781079e-07,7.326670280827479e-07,7.3077770295e-08,9.0108742837e-08,8.735544796169833e-07,7.480324777980199e-07,train
6.870127483231399e-07,9.821498124949753e-07,7.308066404000001e-08,9.01665353019999e-08,7.133170769902734e-07,1.4041812558645777e-06,train
9.12302560452187e-07,6.213772840203519e-07,7.307974847799996e-08,9.0063772619e-08,1.0833333053647062e-06,6.288194735859558e-07,train
7.2009003581181e-07,1.0816756833419999e-07,7.308974637199999e-08,9.015238604499997e-08,7.527470345394766e-07,1.0129015280465153e-07,train
