A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,bin
3.1606361746952e-07,9.72987919629724e-07,7.30823592381999e-08,7.412853239080005e-08,4.984744216030996e-08,1.8026405321650007e-08,1.4212286873120821e-08,4.647633537871989e-08,1.756083449839997e-08,3.133247042241985e-08,3.145295491163981e-07,1.2466154565466941e-06,train
3.6733571677586e-07,1.687821425749002e-07,7.309247246029983e-08,7.414020391700009e-08,4.984619410216996e-08,1.8025546265989944e-08,1.4184985114553864e-08,4.6479321495159846e-08,1.7559424763399913e-08,3.132829195953994e-08,3.678658234983459e-07,1.6487693309031181e-07,train
8.28271705235362e-07,9.830450994126395e-07,7.308302085770007e-08,7.409723569460014e-08,4.98471247085099e-08,1.8026965436800027e-08,1.401117881943311e-08,4.649530883792006e-08,1.7557896414599755e-08,3.132143427082e-08,8.999444108052221e-07,1.428222441019443e-06,train
2.9741447676159e-07,8.779356492838231e-07,7.308023758489984e-08,7.413084354479987e-08,4.9846690820619916e-08,1.802540341057996e-08,1.4215516701835795e-08,4.647464966960998e-08,1.7560181136499917e-08,3.133214462418996e-08,2.951438238033332e-07,9.271103172620918e-07,train
9.302077330796564e-07,9.741476724404822e-07,7.30806189461001e-08,7.40921659711e-08,4.9846582181100014e-08,1.8026305542460122e-08,1.3972307499818065e-08,4.649845882369996e-08,1.75568528547001e-08,3.1371232412730003e-08,1.1537961087470627e-06,1.2608328937529027e-06,train
9.613522470735016e-07,9.805230065670553e-07,7.308323804949993e-08,7.409258456299988e-08,4.9847134357880016e-08,1.8026973974830302e-08,1.396772675970366e-08,4.650085913479983e-08,1.7557264938900057e-08,3.145008411024983e-08,1.3928035175632769e-06,1.3661018115573606e-06,train
3.293379188545601e-07,9.411851862682794e-07,7.308008553159984e-08,7.412702960229989e-08,4.9846862784259956e-08,1.8025631986519994e-08,1.4203780568102836e-08,4.6475959536019954e-08,1.7560185441199917e-08,3.1330415743059785e-08,3.2833450590504175e-07,1.0587188231173606e-06,train
4.6608155917101997e-07,4.761655117014891e-07,7.308608589619994e-08,7.412619814429991e-08,4.9846113111669986e-08,1.8025337758689723e-08,1.4145130976867872e-08,4.6481614431209976e-08,1.7558790382299914e-08,3.132141252271989e-08,4.7120758931131816e-07,4.786078217782564e-07,train
6.110864087530006e-08,4.035065248586629e-07,7.309108139349978e-08,7.420811428879976e-08,4.984713977706997e-08,1.8026128037389933e-08,1.4313446847055904e-08,4.6467993886359884e-08,1.7562103345499986e-08,3.1350268797559916e-08,3.190774661024259e-08,4.0438034683400813e-07,train
8.86549065818942e-07,8.21307460497226e-07,7.30785733921e-08,7.409539029889989e-08,4.984559991915998e-08,1.8025135592900078e-08,1.3981446803444024e-08,4.64956414183201e-08,1.7556179048299952e-08,3.133456544400995e-08,1.0113277518900596e-06,8.505973637580117e-07,train
9.592308705781612e-07,6.02276254118635e-07,7.308343965849998e-08,7.409835960669988e-08,4.984575107615989e-08,1.80253901430597e-08,1.3960136495102845e-08,4.649980286206992e-08,1.7555939990699892e-08,3.1438583414779875e-08,1.3664942869026618e-06,6.088342715971643e-07,train
5.18986049973293e-07,9.691068650563467e-07,7.308070602929991e-08,7.411350338479989e-08,4.9846935389709945e-08,1.802605537257998e-08,1.4128756790570706e-08,4.64831332658899e-08,1.7559241028999767e-08,3.131946578550004e-08,5.272896851737602e-07,1.2064645750355685e-06,train
