A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,bin
8.545307794648e-07,9.39095303838e-07,7.295463484910008e-08,7.444664743379998e-08,4.9867193831239956e-08,1.8027730331760023e-08,1.8207351463855758e-08,4.65482517280999e-08,1.756814416660006e-08,3.136319367454996e-08,2.439895724940584e-06,2.5547508358944246e-06,train
5.964909188279999e-07,7.32857232703e-07,7.301379464780004e-08,7.507131139239991e-08,4.986716880845987e-08,1.8035976453237095e-08,1.7155602630170818e-08,4.6522528568689855e-08,1.757303673299994e-08,3.135048308112996e-08,4.1564770150704855e-07,2.3632976372654035e-07,train
8.344468161577999e-07,8.903770661197e-07,7.29607415886001e-08,7.447581435959992e-08,4.986560924038987e-08,1.802799098583409e-08,1.8132551236930898e-08,4.654757321713e-08,1.756788695889998e-08,3.134726805804014e-08,2.8851816915059337e-06,1.027631568505702e-06,train
7.952786884609e-07,9.342536021296999e-07,7.295043274000012e-08,7.454979629709976e-08,4.9861991046710076e-08,1.802840253194684e-08,1.796353817587978e-08,4.653186447691001e-08,1.756797715209984e-08,3.135305556599005e-08,8.704734747439601e-07,2.812521562549052e-06,train
7.696258929866999e-07,8.484927304118999e-07,7.296840413560005e-08,7.459834538929986e-08,4.986294591483983e-08,1.802937425275581e-08,1.7866373831307952e-08,4.653565958532991e-08,1.7568318179600106e-08,3.134016047784984e-08,1.8177655177415127e-06,7.509275032543605e-07,train
7.70276362582e-07,8.699059806485e-07,7.296305373679997e-08,7.45962722879999e-08,4.98621027857499e-08,1.8029142364245046e-08,1.7869364895848842e-08,4.6533942948139974e-08,1.756815980170002e-08,3.134058247448992e-08,1.615997019362698e-06,1.0891335229048797e-06,train
8.573417870472e-07,9.364210649618999e-07,7.295544803210005e-08,7.444162379509986e-08,4.986755632390983e-08,1.8027752783073868e-08,1.8220436819208028e-08,4.654987082635005e-08,1.7568147801600025e-08,3.1362511839409956e-08,2.6540089712166396e-06,2.373490164661606e-06,train
7.843612180213999e-07,8.764464933947e-07,7.296149164890002e-08,7.456776613969993e-08,4.986250365445987e-08,1.802884320806284e-08,1.7926696314147085e-08,4.653616869133994e-08,1.7568041304799994e-08,3.134149253606002e-08,1.8092567881080983e-06,1.1233906960374804e-06,train
8.496873421317999e-07,9.183749539737e-07,7.295687822950002e-08,7.445156967809991e-08,4.9866570750260076e-08,1.8027760091000122e-08,1.819327301837399e-08,4.6549584797499813e-08,1.7567910982599836e-08,3.135456003528988e-08,2.8832661433942897e-06,1.6695934684931433e-06,train
7.83415106388e-07,9.268636445703999e-07,7.295122797749993e-08,7.457176275509996e-08,4.986125441251012e-08,1.8028605189399087e-08,1.7917594024444893e-08,4.653042647736992e-08,1.7567887901400104e-08,3.134949124601996e-08,8.56151249870625e-07,2.542635467541001e-06,train
6.4347433259e-07,7.47352849973e-07,7.300430717359997e-08,7.491912461069989e-08,4.9866114814060014e-08,1.8034023677508983e-08,1.7347988787980815e-08,4.652614811863997e-08,1.7571593761599748e-08,3.134680481769996e-08,7.800739227172282e-07,2.1465237030072738e-07,train
7.892615091958999e-07,9.092700466829e-07,7.295439705110006e-08,7.455868112159977e-08,4.986179328659004e-08,1.802848100238689e-08,1.794456692064091e-08,4.653389404803992e-08,1.7567881737199992e-08,3.134541925551991e-08,1.4023510879797887e-06,1.8690529783221606e-06,train
