A1,A2,C1,C2,bin
8.455110702999999e-07,9.087284199499999e-07,2.9580314003081564e-06,1.3934144727771886e-06,train
6.28917108e-07,8.071471613999999e-07,3.5588671440462995e-07,8.240910706471464e-07,train
7.20236122e-07,8.640456592099999e-07,9.09397233684282e-07,1.2393460108810877e-06,train
7.616267781e-07,8.577951500999999e-07,1.5984519587745797e-06,9.342977358130537e-07,train
7.921297603999999e-07,8.934386400399999e-07,1.7503362814994583e-06,1.4272576589647862e-06,train
7.939111782999999e-07,9.1670507177e-07,1.352912896668135e-06,2.0747443682895373e-06,train
6.64823236e-07,8.483912729599999e-07,4.059894244141126e-07,1.2176431110557462e-06,train
8.552048454e-07,9.3698468513e-07,2.565420464597476e-06,2.423288761995864e-06,train
8.412797539999999e-07,9.196617593099999e-07,2.569037244347907e-06,1.796653327011047e-06,train
7.696036498999999e-07,8.663880272799999e-07,1.6517055209262175e-06,1.0292022366628908e-06,train
7.694645634e-07,9.264258420699999e-07,6.079489029877014e-07,2.6104657448018133e-06,train
6.71055645e-07,8.6629009571e-07,2.958249672521205e-07,1.4773982123496655e-06,train
8.177628018999999e-07,8.695916002399999e-07,2.683625726415574e-06,7.501455049455849e-07,train
7.740843551e-07,9.1878093958e-07,9.003550220251266e-07,2.277221878644317e-06,train
8.474320759e-07,9.339256885899999e-07,2.3761296784287447e-06,2.345961349557549e-06,train
8.48206314e-07,9.3359322562e-07,2.4158076543920986e-06,2.3211905915318064e-06,train
8.104508533999999e-07,8.6895582878e-07,2.4985075868319203e-06,7.983795913507351e-07,train
7.443156139e-07,8.679591681999999e-07,1.2130204383556307e-06,1.1919990724787591e-06,train
8.308285035e-07,9.2942353176e-07,1.9667469648436146e-06,2.2901903691336794e-06,train
8.240659455999999e-07,9.141184447599999e-07,2.161000215220261e-06,1.7606332554769606e-06,train
7.479010392999999e-07,9.2194239927e-07,3.595527188655201e-07,2.5529832987398085e-06,train
7.466454986e-07,8.7980897018e-07,1.1105336907888983e-06,1.3981152694621382e-06,train
7.802811435e-07,9.2041626469e-07,9.79713839360685e-07,2.298779864213118e-06,train
7.57561122e-07,8.536981904e-07,1.5684251903153362e-06,8.936471750471878e-07,train
8.456821092999999e-07,9.4117293596e-07,2.0397892939827348e-06,2.769248097231798e-06,train
7.430756191999999e-07,9.272768093e-07,1.2664507940561975e-07,2.8074948245665614e-06,train
8.256823448999999e-07,9.146089018399999e-07,2.1966253095660044e-06,1.7631204690198053e-06,train
7.850490284999999e-07,9.0809051068e-07,1.3495180512933537e-06,1.8578613482270766e-06,train
8.029110442999999e-07,9.1263053893e-07,1.6468739675467811e-06,1.876381314667285e-06,train
8.105981405e-07,8.7787009818e-07,2.39520406254834e-06,9.634817031021924e-07,train
7.643189776999999e-07,9.075517641499999e-07,9.680927261418388e-07,1.9674265143855764e-06,train
8.029916001999999e-07,8.792279728499999e-07,2.1921135948576735e-06,1.0473209079321185e-06,train
8.265387414999999e-07,9.345397828699999e-07,1.6719251682044277e-06,2.5756177499712993e-06,train
7.551492513999999e-07,8.396905998999999e-07,1.6505791897049882e-06,7.065616998497498e-07,train
7.87909062e-07,8.745959194999999e-07,1.9148309690563665e-06,1.0625677785959607e-06,train
8.052370763e-07,8.8954563663e-07,2.1054090329843255e-06,1.2470520052348826e-06,train
6.444292799999999e-07,8.566501274499999e-07,1.2178478679048343e-07,1.4141960015978206e-06,train
6.61111549e-07,8.260405934e-07,5.439744411698504e-07,9.353970194321574e-07,train
7.505010155e-07,8.805600356e-07,1.161828224997501e-06,1.3931879590236647e-06,train
7.422298746999999e-07,8.804040052099999e-07,1.0350444675450215e-06,1.4320539067501102e-06,train
7.974618167e-07,9.2979875279e-07,1.0797249406865486e-06,2.5738920374248525e-06,train
6.817461369999999e-07,8.410718758e-07,6.505490144536674e-07,1.0534328428387852e-06,train
7.1081791e-07,8.998667830099999e-07,3.0122159141522153e-07,2.0272262253935645e-06,train
6.868239839999999e-07,8.810004853e-07,2.9489492582151845e-07,1.691906830781492e-06,train
6.83205632e-07,8.253963943e-07,7.848094010564035e-07,8.481453692477455e-07,train
8.113269569999999e-07,9.3608209591e-07,1.2004575525562158e-06,2.784209410470482e-06,train
8.364365663999999e-07,9.304086359899999e-07,2.1125743195531303e-06,2.2840132690447854e-06,train
7.795474335e-07,9.104583115299999e-07,1.192304658856892e-06,1.9640866146381825e-06,train
8.133127494e-07,9.2101492768e-07,1.7087112137281258e-06,2.089165692610303e-06,train
8.460140108e-07,9.275656506999999e-07,2.524452587371731e-06,2.0633083372643466e-06,train
7.659932128e-07,8.973830348599999e-07,1.1796323206542673e-06,1.6824912440110377e-06,train
8.391202441999999e-07,9.3743535384e-07,1.960619039938314e-06,2.6152596898065536e-06,train
7.952853469e-07,8.9798525164e-07,1.7467932769760489e-06,1.5162321663952243e-06,train
7.646745307e-07,9.3103309703e-07,3.749416611148946e-07,2.853391443103741e-06,train
7.969643764e-07,9.076861797299999e-07,1.61109483213611e-06,1.767052147559967e-06,train
8.402159719999999e-07,9.0835078739e-07,2.7810446982107815e-06,1.43516091516378e-06,train
7.15050394e-07,8.318679569e-07,1.1226610532773937e-06,7.992914503223231e-07,train
8.248506732999999e-07,9.1418752064e-07,2.1819115482228838e-06,1.7562926467471775e-06,train
8.136746562999999e-07,9.1939333437e-07,1.7581460596102714e-06,2.026375538543625e-06,train
7.896729532e-07,8.914990323e-07,1.7274237837565145e-06,1.3985606424848076e-06,train
8.434916162999999e-07,9.1941455728e-07,2.651410600558304e-06,1.7658564499367814e-06,train
8.047965433e-07,9.192923260899999e-07,1.5401563487374927e-06,2.0896606252317824e-06,train
7.027912649999999e-07,8.7466084498e-07,5.666768487087415e-07,1.5014943631215015e-06,train
7.599963276e-07,8.977505564499999e-07,1.0694467913748122e-06,1.7252907541243412e-06,train
7.858442861999999e-07,9.314047059599999e-07,7.751672414219358e-07,2.7319982542187845e-06,train
6.297435679999999e-07,8.343167816e-07,1.7795549715044156e-07,1.1427334313328678e-06,train
8.037421347999999e-07,8.824784879999999e-07,2.167719306431097e-06,1.1070986293018205e-06,train
8.191249916e-07,9.1450412738e-07,2.0152703028783076e-06,1.8139544137391898e-06,train
8.143550093999999e-07,9.2159083937e-07,1.7210858219179525e-06,2.1028338634140476e-06,train
7.02169626e-07,8.444389881999999e-07,8.60917772290973e-07,1.019668783000526e-06,train
6.623101e-07,8.325919511e-07,5.086497390610725e-07,1.0125260749029538e-06,train
8.190088562e-07,9.237751082199999e-07,1.7877081032634746e-06,2.150839441850724e-06,train
8.359357253999999e-07,9.4281560159e-07,1.6367361032336286e-06,2.9707351998626138e-06,train
7.831145697e-07,9.115031833199999e-07,1.2413212255271299e-06,1.974200960014378e-06,train
7.395529696999999e-07,9.051488977599999e-07,6.097158959392024e-07,2.032388695829526e-06,train
8.092949555e-07,8.919040625999999e-07,2.169590078433334e-06,1.2703655823559978e-06,train
7.664299005e-07,9.1543401121e-07,8.384432405607529e-07,2.2053722634470055e-06,train
7.880198701e-07,9.141624806599999e-07,1.2845861746380887e-06,2.028190642508036e-06,train
7.524388951999999e-07,8.8747085892e-07,1.1004883015375416e-06,1.5263720191003145e-06,train
7.08380434e-07,9.069886836299999e-07,1.3315713331372402e-07,2.241078735739789e-06,train
7.596341957e-07,8.846581549599999e-07,1.258257036615608e-06,1.4280896458221708e-06,train
8.385190222e-07,9.1081132247e-07,2.674600730482211e-06,1.5261413880386178e-06,train
7.07208008e-07,9.068921520699999e-07,1.197209356264566e-07,2.2437598390273343e-06,train
7.779668115999999e-07,8.9838452293e-07,1.3841485607780343e-06,1.6372359478688858e-06,train
8.590992736e-07,9.392985659699999e-07,2.6373679302347563e-06,2.5097222645087735e-06,train
8.321329478e-07,9.3015845975e-07,1.9842458627375003e-06,2.3120523896960996e-06,train
8.669270015999999e-07,9.4173564526e-07,2.8851131351084965e-06,2.5620506277561486e-06,train
8.630721540999999e-07,9.4575549909e-07,2.5287212067096257e-06,2.8783834717094508e-06,train
7.17384809e-07,8.577596387399999e-07,9.343570862288201e-07,1.1509766619056138e-06,train
7.923182914999999e-07,9.1818005929e-07,1.2836209899006788e-06,2.1374601533746224e-06,train
7.609789388e-07,9.311702199499999e-07,3.036780240929797e-07,2.8834476098779336e-06,train
8.280797452e-07,8.7294559509e-07,2.9396886304545327e-06,7.210291947393706e-07,train
6.82117128e-07,8.8644019792e-07,1.6444106849936546e-07,1.8271008669502719e-06,train
8.19009731e-07,9.4003567847e-07,1.2504535342326411e-06,2.94808157707714e-06,train
8.627670027999999e-07,9.3385296265e-07,2.9943857019390883e-06,2.170983731220316e-06,train
7.28924735e-07,9.096346424299999e-07,3.61936143620902e-07,2.2212019606846537e-06,train
7.13210294e-07,8.175428178999999e-07,1.1993535345612744e-06,6.343266800064556e-07,train
7.588942717e-07,8.6524881471e-07,1.476436965757562e-06,1.0700681183945754e-06,train
7.540971066e-07,9.098359909199999e-07,7.474621874042281e-07,2.0940296819987427e-06,train
7.706921872e-07,8.970051187499999e-07,1.2703219098960259e-06,1.6460600767156376e-06,train
7.16344875e-07,8.8825175211e-07,5.61113631375767e-07,1.719278802253233e-06,train
8.384066885e-07,9.110976030299999e-07,2.664966588924126e-06,1.53609566623325e-06,train
8.13334513e-07,9.245491413e-07,1.6166930525525934e-06,2.2271816562743828e-06,train
7.61662481e-07,8.602896077299999e-07,1.574455564583868e-06,9.736116735930922e-07,train
8.174238313e-07,9.1887923426e-07,1.8690154209298055e-06,1.9782579476918635e-06,train
8.422390334999999e-07,9.2989668035e-07,2.3220485088781734e-06,2.2047434881374133e-06,train
7.636252329e-07,8.531326902999999e-07,1.6775322277164594e-06,8.514604200394019e-07,train
7.497495917e-07,8.897344515299999e-07,1.0249138226404726e-06,1.590295011944108e-06,train
8.413700130999999e-07,9.217275761699999e-07,2.52059817655489e-06,1.8727652413635852e-06,train
6.74454378e-07,8.123349305999999e-07,7.74929321195319e-07,7.294697755848363e-07,train
8.510513641999999e-07,9.2995870844e-07,2.6394374907301313e-06,2.117197159830838e-06,train
8.667723137999999e-07,9.4722523912e-07,2.6248497324417563e-06,2.939337275768157e-06,train
8.332708374e-07,9.1480947682e-07,2.4203570466459808e-06,1.7031189162577859e-06,train
6.74336784e-07,8.032276106e-07,8.286160203343885e-07,6.312354631822249e-07,train
8.275609925999999e-07,8.679597936999999e-07,2.9837165844652417e-06,6.338806698654245e-07,train
8.466124944e-07,9.2140826525e-07,2.71298137408034e-06,1.8082244449067137e-06,train
7.983950565999999e-07,9.236158403599999e-07,1.280428643212271e-06,2.300792108980924e-06,train
8.275940359e-07,9.136715657199999e-07,2.2729012350094108e-06,1.716017542844675e-06,train
8.303610968e-07,9.153898942e-07,2.3178471155495846e-06,1.7485600648548924e-06,train
