A1,A2,A3,A4,C1,C2,bin
8.119198947e-07,8.383768797799999e-07,2.9101822719999993e-07,1.404389746899999e-07,2.865616157414816e-06,2.9250965681795705e-07,train
8.027718639e-07,9.1326733938e-07,2.909784881e-07,1.4045071647999993e-07,1.6505807494600387e-06,1.889093029061233e-06,train
8.163538701999999e-07,8.852402943099999e-07,2.9097756909999997e-07,1.4043184074999997e-07,2.4683754450695072e-06,1.0595712562788031e-06,train
7.006889881999999e-07,8.8461288013e-07,2.911762898e-07,1.406104341e-07,4.2954123757713337e-07,1.7008212049981893e-06,train
7.390439505999999e-07,8.261691845199999e-07,2.911437118e-07,1.4054604175000004e-07,1.5175459853968319e-06,6.088110234709217e-07,train
7.489078529999999e-07,8.3601976113e-07,2.9111765400000004e-07,1.4052945876999995e-07,1.596064506046432e-06,6.834545251679098e-07,train
8.236489773999999e-07,8.6595864982e-07,2.909824951999999e-07,1.4042297796999998e-07,2.9128232479481916e-06,6.254251194835256e-07,train
7.357263345e-07,9.057533541299999e-07,2.910924886999999e-07,1.4055001944999995e-07,5.588772565613137e-07,2.060598662372028e-06,train
8.035902148999999e-07,9.013617559399999e-07,2.909839527999999e-07,1.4044873404e-07,1.8992296558035582e-06,1.5366524981607172e-06,train
7.209899988999999e-07,9.128739805499999e-07,2.911174793999999e-07,1.4057570945999993e-07,1.9656594733206358e-07,2.3568627614826904e-06,train
8.566452603999999e-07,9.278418243849999e-07,2.9091366259999997e-07,1.4038891142999995e-07,2.9492347724639026e-06,1.9513886604411e-06,train
7.64215549e-07,8.766685981599999e-07,2.9106016610000005e-07,1.4050406531999994e-07,1.4570741622646602e-06,1.236339397896556e-06,train
7.780104939e-07,9.332953739299999e-07,2.9100753059999997e-07,1.4048852639999994e-07,5.719255205718364e-07,2.869766948464794e-06,train
6.355134719999999e-07,8.5967423902e-07,2.9135054570000003e-07,1.407435611899999e-07,2.161579093854038e-08,1.4851858280954662e-06,train
7.907611517e-07,8.3592134715e-07,2.910492947999999e-07,1.4046733274999997e-07,2.3777114457836423e-06,4.2501528504023933e-07,train
6.807431597999999e-07,8.5516501047e-07,2.9124192849999996e-07,1.4064880169999996e-07,5.323911858603941e-07,1.25214435037869e-06,train
7.348091096999999e-07,8.5118095571e-07,2.911316709e-07,1.4055147125999995e-07,1.2537213886650613e-06,9.645473090389602e-07,train
6.298354839999999e-07,7.2064859644e-07,2.9148546109999994e-07,1.4077060955999995e-07,7.702909908450817e-07,3.1508062818406125e-08,train
5.379827659999999e-07,6.9428397127e-07,2.9180280589999995e-07,1.4102029126999993e-07,1.0360860613785461e-07,7.690644539712355e-08,train
7.291432959999999e-07,8.9541024001e-07,2.9111119379999996e-07,1.405604899699999e-07,6.455559132881939e-07,1.8179033981507429e-06,train
8.170921612999999e-07,8.6650250652e-07,2.9098995189999995e-07,1.4043114388999992e-07,2.7220522285028433e-06,6.922962666643015e-07,train
8.5738639e-07,9.45709672065e-07,2.909104539e-07,1.4039316007999996e-07,2.3138157871303147e-06,2.931954716429904e-06,train
6.625531922e-07,8.5806068516e-07,2.912828174e-07,1.4068525532999987e-07,3.083518297458742e-07,1.3643915050553036e-06,train
6.480497449999999e-07,7.808581834299999e-07,2.913828219999999e-07,1.4072204023000004e-07,6.945284896458959e-07,4.915150863106512e-07,train
8.330549979e-07,9.176970299169999e-07,2.909393253e-07,1.4041336389e-07,2.370685634018559e-06,1.7945312017189295e-06,train
6.090721009999999e-07,7.826813427799999e-07,2.914875975999999e-07,1.4081142656999996e-07,3.299879075743768e-07,6.275481990994442e-07,train
8.467520676e-07,9.21268603927e-07,2.9092434359999996e-07,1.4039828193999997e-07,2.745797031168163e-06,1.7921439169875174e-06,train
8.151839631e-07,8.6146059243e-07,2.909961009e-07,1.4043367847e-07,2.726114795835664e-06,6.216750973450574e-07,train
6.714926655999999e-07,7.723075463999999e-07,2.913325627999999e-07,1.4067411121999996e-07,9.76350791858937e-07,3.2931186518554047e-07,train
8.211349909999999e-07,9.157054738649999e-07,2.90953752e-07,1.4042740762000002e-07,2.0654189106203084e-06,1.8288021917816488e-06,train
6.57155533e-07,8.584004408e-07,2.912957972e-07,1.4069647556999992e-07,2.4917356612454266e-07,1.3891458000785209e-06,train
8.171658836e-07,9.24257622254e-07,2.9095482679999994e-07,1.4043354378999998e-07,1.746922226244466e-06,2.1758369140989426e-06,train
8.436050793e-07,9.38036173206e-07,2.909222408e-07,1.4040534897999995e-07,2.115750866617979e-06,2.5946146853964465e-06,train
8.074873162e-07,8.5803775732e-07,2.9100857699999993e-07,1.4044366421999993e-07,2.5629298820315086e-06,6.278452792825399e-07,train
8.178052165e-07,9.172112567069999e-07,2.909570055e-07,1.4043177671999995e-07,1.940180040012728e-06,1.9073077418051518e-06,train
8.050391169e-07,9.358001475629999e-07,2.909672694e-07,1.4045172473999993e-07,1.0759149931069686e-06,2.8081224800048354e-06,train
8.338176787e-07,9.152594725029999e-07,2.909396400999999e-07,1.4041211280000002e-07,2.450318059393779e-06,1.7041287973228331e-06,train
7.651413985e-07,9.042427054399999e-07,2.9104083329999995e-07,1.4050340316e-07,1.0643473877090358e-06,1.8594007749838006e-06,train
8.505686655999999e-07,9.27123028918e-07,2.909187917e-07,1.403951451e-07,2.730164186320146e-06,1.98722252816464e-06,train
7.24201431e-07,8.5846502217e-07,2.911466434999999e-07,1.405690518e-07,1.0360451954395144e-06,1.1241492185835506e-06,train
8.073916335e-07,8.796394192899999e-07,2.9099294380000004e-07,1.404433155899999e-07,2.313193000921212e-06,1.0146384404888982e-06,train
7.939999388e-07,9.257562626619999e-07,2.909854182999999e-07,1.404643510699999e-07,1.1436525013134739e-06,2.410314671602635e-06,train
7.354420551999999e-07,8.944695835799999e-07,2.9109972729999993e-07,1.4054987209000004e-07,7.519265345058297e-07,1.7643269458052416e-06,train
6.968947826e-07,8.962416305499999e-07,2.9117709099999997e-07,1.406178372699999e-07,2.0474597366651716e-07,1.9870685990108875e-06,train
5.332998169999999e-07,7.069711360099999e-07,2.918081472999999e-07,1.4103271961e-07,3.2555609148778195e-08,1.8195303260640296e-07,train
8.173964062999999e-07,8.686324080399999e-07,2.9098798469999997e-07,1.4043066243999996e-07,2.7060016059466345e-06,7.275467882071535e-07,train
7.975434860999999e-07,9.151428408e-07,2.909848294999999e-07,1.4045790075999992e-07,1.4892917726747902e-06,1.9876692271355608e-06,train
7.224307417e-07,8.639499293699999e-07,2.911460116999999e-07,1.4057193814999994e-07,9.56979557724922e-07,1.2203273802791401e-06,train
8.23776013e-07,9.189757292089999e-07,2.9094904809999995e-07,1.4042464264999994e-07,2.0636599059801602e-06,1.9207633342886164e-06,train
7.31486434e-07,9.153169886589999e-07,2.9109567519999987e-07,1.4055804108999992e-07,2.913982898221672e-07,2.3863135446544845e-06,train
7.397971914999999e-07,8.7807533413e-07,2.911024647e-07,1.4054250023999988e-07,1.0451344642343478e-06,1.3906746710739561e-06,train
8.525591078999999e-07,9.455814697579999e-07,2.9091414719999995e-07,1.4039823453999993e-07,2.1257006919876602e-06,2.977486259068341e-06,train
7.883612965e-07,9.33023358042e-07,2.909915886999999e-07,1.4047371599999991e-07,7.946302762494956e-07,2.785001229363786e-06,train
8.513325856e-07,9.29676591132e-07,2.9091729549999994e-07,1.4039482130000003e-07,2.683765898744766e-06,2.091591224337486e-06,train
7.171824864e-07,9.0436836752e-07,2.9112964589999995e-07,1.4058161175e-07,3.21406439462256e-07,2.1124291303232188e-06,train
7.671548939999999e-07,8.6171840674e-07,2.9106618409999997e-07,1.4050004092999994e-07,1.6745401802277164e-06,9.57996453380606e-07,train
8.000311158e-07,9.270419549369999e-07,2.909764668e-07,1.4045632343e-07,1.2429404478183898e-06,2.422304593761967e-06,train
6.678663586e-07,7.542569876e-07,2.913574424999999e-07,1.4068376636999994e-07,1.0193038117443339e-06,1.7978775136347615e-07,train
7.109151202e-07,8.419040269799999e-07,2.911863896999999e-07,1.4059307792000003e-07,1.0076059860991782e-06,9.411406418124147e-07,train
